hour,phase,price_eur_mwh
0,pretrain,77.43773663803545
1,pretrain,67.70235236140398
2,pretrain,85.0228474529185
3,pretrain,91.31131429553328
4,pretrain,74.3917184907693
5,pretrain,86.81799259202583
6,pretrain,106.02272322533828
7,pretrain,110.23463061432696
8,pretrain,119.86559073996568
9,pretrain,119.38885201500779
10,pretrain,138.0159459124358
11,pretrain,140.20011027210361
12,pretrain,135.52824558048974
13,pretrain,142.9957044444163
14,pretrain,134.72083685154954
15,pretrain,119.33886373253053
16,pretrain,122.95000627265999
17,pretrain,105.09351054644364
18,pretrain,112.02760241045819
19,pretrain,96.83602135903435
20,pretrain,88.52110109163793
21,pretrain,78.33936020917206
22,pretrain,88.79956859585909
23,pretrain,74.78598935477753
24,pretrain,71.56967340292304
25,pretrain,73.20145278765003
26,pretrain,83.27400735112153
27,pretrain,86.7066450595441
28,pretrain,93.2981568729958
29,pretrain,100.67829265121534
30,pretrain,122.12947678719159
31,pretrain,109.50954720222661
32,pretrain,115.8983541476556
33,pretrain,119.6993175898413
34,pretrain,135.90489347436502
35,pretrain,143.0058491106671
36,pretrain,134.0847163189889
37,pretrain,127.25281895319974
38,pretrain,124.38120836823114
39,pretrain,131.41424171842192
40,pretrain,125.94232934985544
41,pretrain,117.10610147974509
42,pretrain,99.67221832191835
43,pretrain,99.08901521168605
44,pretrain,90.92978245335375
45,pretrain,85.5326013184636
46,pretrain,85.98696409028027
47,pretrain,77.80728558175332
48,pretrain,80.41649352306777
49,pretrain,76.5480427857317
50,pretrain,81.31737809447932
51,pretrain,88.82228738960451
52,pretrain,78.32793845964729
53,pretrain,94.66324393455858
54,pretrain,101.22220378415025
55,pretrain,107.63873358562151
56,pretrain,117.78404700867914
57,pretrain,138.1579189439642
58,pretrain,124.03929820647983
59,pretrain,141.70918664389652
60,pretrain,121.52222684556618
61,pretrain,131.2838795672785
62,pretrain,132.2679716528658
63,pretrain,130.88816710496326
64,pretrain,125.67499765683546
65,pretrain,119.09653425316765
66,pretrain,102.19538444050511
67,pretrain,93.52179932410046
68,pretrain,96.84899206854986
69,pretrain,82.24154698384328
70,pretrain,68.79893231825609
71,pretrain,66.94111251779272
72,pretrain,67.611052119199
73,pretrain,79.96618157096997
74,pretrain,80.12531418224326
75,pretrain,89.27734980415761
76,pretrain,86.54864923651962
77,pretrain,98.47041658274999
78,pretrain,109.97139355895058
79,pretrain,110.25646944252563
80,pretrain,123.62087230767119
81,pretrain,120.88446631427512
82,pretrain,128.04300174822447
83,pretrain,130.8905420438973
84,pretrain,125.39995324249958
85,pretrain,137.8402250421686
86,pretrain,127.19221379912327
87,pretrain,126.27982679262982
88,pretrain,123.81264367845917
89,pretrain,116.30349116852709
90,pretrain,110.28975127899419
91,pretrain,96.4142151780609
92,pretrain,86.5802839108587
93,pretrain,83.1157212843643
94,pretrain,65.4872328220145
95,pretrain,64.41199583915515
96,pretrain,64.35916073382943
97,pretrain,67.98500822318074
98,pretrain,82.15818933291898
99,pretrain,76.48372175418773
100,pretrain,86.91545720034952
101,pretrain,107.57001266187754
102,pretrain,102.09064586417324
103,pretrain,118.60545353347696
104,pretrain,112.47181619258562
105,pretrain,124.51046060532003
106,pretrain,123.32134330691316
107,pretrain,131.2062678141322
108,pretrain,141.66322273232382
109,pretrain,120.0999690357979
110,pretrain,134.3969088945647
111,pretrain,128.0558458869193
112,pretrain,115.18755798709029
113,pretrain,101.13686615063263
114,pretrain,105.5177936943756
115,pretrain,92.9402446070786
116,pretrain,91.80216732350229
117,pretrain,83.90237136125577
118,pretrain,91.77422664969882
119,pretrain,74.0481378242084
120,pretrain,59.228728995053764
121,pretrain,69.77091670587436
122,pretrain,72.79399650562296
123,pretrain,86.1983264459154
124,pretrain,87.59759890334531
125,pretrain,90.2835631914567
126,pretrain,106.12313206578517
127,pretrain,91.89471871921393
128,pretrain,102.79869667403071
129,pretrain,106.09598449682126
130,pretrain,114.68091641296239
131,pretrain,109.48321706538303
132,pretrain,126.49791651054392
133,pretrain,118.71892466904332
134,pretrain,106.03294448218726
135,pretrain,105.38395937840514
136,pretrain,110.42481971563025
137,pretrain,108.10983569695179
138,pretrain,110.39055606956298
139,pretrain,110.73949444631924
140,pretrain,84.23198440223666
141,pretrain,67.40852088373698
142,pretrain,53.977652787998366
143,pretrain,70.47840332497452
144,pretrain,60.87656468552661
145,pretrain,64.9772380567669
146,pretrain,66.10063315335091
147,pretrain,74.16188326464136
148,pretrain,89.40793529431036
149,pretrain,88.64836776980393
150,pretrain,93.11101475169971
151,pretrain,93.08297764317079
152,pretrain,94.48262989037437
153,pretrain,109.58151326745937
154,pretrain,117.3325189436425
155,pretrain,134.60353006645312
156,pretrain,122.42228961979231
157,pretrain,128.32200684599852
158,pretrain,113.76841456187584
159,pretrain,103.99242640870982
160,pretrain,100.15915935015025
161,pretrain,95.56639914949126
162,pretrain,111.40785130749053
163,pretrain,80.82088579644608
164,pretrain,87.58800707789999
165,pretrain,68.06479293127624
166,pretrain,78.44999164882333
167,pretrain,71.37970386705129
168,pretrain,73.56561488017879
169,pretrain,75.51484306368798
170,pretrain,73.59965438447522
171,pretrain,87.17409223770372
172,pretrain,86.17885021871726
173,pretrain,87.2493005982299
174,pretrain,94.59521746688655
175,pretrain,113.96399275629608
176,pretrain,132.45144811272698
177,pretrain,127.31185440562744
178,pretrain,129.85037356609763
179,pretrain,136.08310196693589
180,pretrain,145.26673199509813
181,pretrain,135.5515528610264
182,pretrain,127.51206232830678
183,pretrain,134.88223117751903
184,pretrain,123.24876956913641
185,pretrain,124.86933735048706
186,pretrain,106.28459355921875
187,pretrain,87.25839445460387
188,pretrain,78.8734444674782
189,pretrain,96.81293808369709
190,pretrain,92.62728171417673
191,pretrain,74.40478956651064
192,pretrain,71.69781273421766
193,pretrain,87.47709085257114
194,pretrain,69.92618373342451
195,pretrain,76.39229171606253
196,pretrain,94.90992566081792
197,pretrain,93.84189896735323
198,pretrain,104.722336369545
199,pretrain,111.22033946818509
200,pretrain,122.46390769369704
201,pretrain,137.23636962941174
202,pretrain,131.4687526720527
203,pretrain,138.89259643819247
204,pretrain,118.36193449505737
205,pretrain,133.3513388765367
206,pretrain,123.99823125449575
207,pretrain,116.22601025551297
208,pretrain,112.73809236787557
209,pretrain,109.8548951307747
210,pretrain,112.09053164215368
211,pretrain,86.38759820831343
212,pretrain,90.00836324406093
213,pretrain,79.67675240104053
214,pretrain,76.16116443487674
215,pretrain,83.80759911707035
216,pretrain,79.00549013762385
217,pretrain,86.42197671246232
218,pretrain,77.48375909406008
219,pretrain,77.9198223126304
220,pretrain,87.90969610654845
221,pretrain,98.87596961868658
222,pretrain,106.11315350922213
223,pretrain,103.79003341680112
224,pretrain,120.42448489461543
225,pretrain,127.7395967183001
226,pretrain,150.82112105539696
227,pretrain,148.69309832051783
228,pretrain,127.87461983712188
229,pretrain,131.37927453787108
230,pretrain,118.97379274042959
231,pretrain,121.18811396548098
232,pretrain,122.22540667031517
233,pretrain,122.11196696177393
234,pretrain,98.86789593964357
235,pretrain,91.70282376797444
236,pretrain,72.5222544036832
237,pretrain,82.18603584163675
238,pretrain,70.22048923318278
239,pretrain,71.4872764339918
240,pretrain,67.61561644356081
241,pretrain,74.898627446209
242,pretrain,64.5879134245153
243,pretrain,71.68093727017717
244,pretrain,106.66447956512789
245,pretrain,86.56655066563364
246,pretrain,95.8562180412644
247,pretrain,127.09038224854766
248,pretrain,142.87104002282476
249,pretrain,116.4711730738952
250,pretrain,127.66527312813044
251,pretrain,136.34072186509763
252,pretrain,148.46008382414627
253,pretrain,125.71342083014767
254,pretrain,128.64904201489782
255,pretrain,132.0624067129919
256,pretrain,123.10863126463447
257,pretrain,109.38582545213634
258,pretrain,103.55991895277319
259,pretrain,85.86676484886604
260,pretrain,87.72511271710421
261,pretrain,81.28619931323345
262,pretrain,80.50709967237842
263,pretrain,71.21011012967733
264,pretrain,78.32544832706112
265,pretrain,83.67709190058659
266,pretrain,79.81581265451459
267,pretrain,86.15398797829722
268,pretrain,89.97838292732295
269,pretrain,96.78924393835571
270,pretrain,98.78067587835724
271,pretrain,114.8496655931621
272,pretrain,118.7748473593921
273,pretrain,142.5116900537412
274,pretrain,143.1207414800351
275,pretrain,136.61768735582407
276,pretrain,128.44868246914186
277,pretrain,124.63162315950473
278,pretrain,140.06304588494407
279,pretrain,127.86833738347354
280,pretrain,123.39428737383291
281,pretrain,98.3610236039821
282,pretrain,111.97264799916546
283,pretrain,100.42393149933929
284,pretrain,80.6696946713842
285,pretrain,79.56773825150401
286,pretrain,80.68211566801901
287,pretrain,75.99509974487792
288,pretrain,64.68428231282715
289,pretrain,67.11374834492307
290,pretrain,68.62314687142067
291,pretrain,76.15026880403856
292,pretrain,92.29358758320085
293,pretrain,66.50027005403716
294,pretrain,92.12684968317812
295,pretrain,102.42186538800324
296,pretrain,109.88960371675239
